Date	input3...9.	UT...5.	ReturnAUM.RGE	AdjAUM.AdjGE	GE_USDCAD	SPX_USDCAD	EU_USDCAD	UK_GBPCAD	JP_JPYCAD
07/26/2017	21552100833	0	21573481587	21628389001	0.00099205	0.000601896	0.002800601	0.003212048	0.006025887
07/27/2017	21536119287	0	21513718639	21573481587	-0.001040143	-0.002925329	-1.05E-06	-0.000974633	0.009522371
07/28/2017	21360429263	0	21179497180	21513718639	-0.008470433	-0.008206467	-0.010410128	-0.014261693	-0.010326928
07/31/2017	21499450636	0	21649202350	21179497180	0.006965374	0.005826982	0.008935187	0.012032779	0.005736583
08/01/2017	21483536962	-74306502.45	21552949295	21574895848	0.003230955	0.000926043	0.006582963	0.009114818	0.006719661
08/02/2017	21902244474	250712613.8	22060554222	21803661909	0.007228015	0.007663933	0.006820455	0.00493916	0.003981758
08/03/2017	21898383501	0	21851778516	22060554222	-0.002128239	-0.003691106	0.001127908	0.000783779	0.00503684
08/04/2017	21755974863	-3.00E+08	21909879478	21551778516	0.007074131	0.009428935	0.006184274	0.004515684	-0.004703122
08/08/2017	21822185237	0	21763390996	21909879478	-0.002694242	-0.002650338	-0.003512251	-0.003719616	-5.95E-05
08/09/2017	21812396538	-175000	21804261597	21763215996	-0.00037295	0.001724921	-0.004876387	-0.001386267	-0.008139015
08/10/2017	21589664814	0	21354824830	21804261597	-0.010877426	-0.014862115	-0.009745704	-0.014956945	0.011051323
08/11/2017	21221073930	-3.00E+08	21160482157	21054824830	-0.002855264	-0.00034007	-0.008441883	-0.013340345	-0.005081579
08/15/2017	21483566237	0	21573178127	21556582124	0.004171183	0.005292996	0.001171743	-0.000376054	0.004288148
08/16/2017	21146703408	-3.00E+08	21111977162	21273178127	-0.001642159	-0.002897209	0.001289119	0.003713799	-0.007749882
08/17/2017	20876614105	0	20601704772	21111977162	-0.013168291	-0.019622421	-0.006825732	-0.009023923	0.009297358
08/18/2017	20727929336	-1000	20586318444	20601703772	-0.006831888	-0.005662792	-0.010226702	-0.014790128	-0.016106808
08/21/2017	20716780441	0	20709535071	20586318444	-0.000349734	-0.000148423	0.000417792	0.001770998	-0.00401232
08/22/2017	20790501061	0	20862007670	20709535071	0.003439388	0.00661007	0.000432337	-0.000323079	-0.005553715
08/23/2017	20798777125	0	20804194183	20862007670	0.000260451	-0.001705556	0.001032735	-0.001181475	0.006888774
